Category Tab,GL Code,Description,Sub-Category
Income,4010-0000,Maintenance,Recurring Income
Income,4011-0000,Maintenance Sponsors,Recurring Income
Income,4020-0000,Common Charges,Recurring Income
Income,4026-0000,Mandatory Dues,Recurring Income
Income,4027-0000,General Membership,Recurring Income
Income,4030-0005,Commercial Common Charges,Recurring Income
Income,4021-0000,Common Charges Sponsors,Recurring Income
Income,4025-0000,Homeowner Association Dues,Recurring Income
Income,4030-0000,Rental Income,Recurring Income
Income,4080-0000,Rents- Residential Below Market,Recurring Income
Income,4030-0010,Vacancy Loss,Recurring Income
Income,4040-0000,Commercial Rent,Recurring Income
Income,4080-0002,Rents- Commercial Straight Line,Recurring Income
Income,4080-0004,Rents-Commercial Above Market,Recurring Income
Income,4080-0006,Rents- Commercial Below Market,Recurring Income
Income,4040-0010,Common Area Maintenance,Recurring Income
Income,4050-0000,Professional Rental Income,Recurring Income
Income,4060-0000,Arrears,Recurring Income
Income,4065-0000,Surcharge,Recurring Income
Income,4070-0000,Prepaid Income,Recurring Income
Income,4105-0000,Real Estate Tax Abatement,Recurring Income
Income,4110-0000,STAR Exemption,Recurring Income
Income,4115-0000,Veterans Exemption,Recurring Income
Income,4120-0000,SCRIE,Recurring Income
Income,4125-0000,SCHE,Recurring Income
Income,4127-0000,Abatement,Recurring Income
Income,4128-0000,MCI Increase,Recurring Income
Income,4128-0002,IAI Increase,Recurring Income
Income,4129-0000,Preferential Rent,Recurring Income
Income,4130-0000,Apartment Charges,Recurring Income
Income,4130-0005,Ground Rent,Recurring Income
Income,4130-0006,Civic Fee,Recurring Income
Income,4130-0010,Storage Room,Recurring Income
Income,4130-0011,Locker,Recurring Income
Income,4130-0012,Locker 2,Recurring Income
Income,4130-0015,Bicycle Charge,Recurring Income
Income,4130-0020,Gym Fees,Recurring Income
Income,4130-0021,Business Center,Recurring Income
Income,4130-0022,Cinema Room,Recurring Income
Income,4130-0025,Energy Surcharge,Recurring Income
Income,4130-0030,Laundry,Recurring Income
Income,4130-0031,Valet,Recurring Income
Income,4130-0035,Maids Room,Recurring Income
Income,4130-0036,Hallway License Fee,Recurring Income
Income,4130-0040,Pool Charges,Recurring Income
Income,4130-0041,TENNIS MEMBERSHIP,Recurring Income
Income,4130-0042,TENNIS MEMBERSHIP-SPONSORED,Recurring Income
Income,4130-0043,DEFERRED MEMBERSHIP,Recurring Income
Income,4130-0044,HOUSE MEMBERSHIP,Recurring Income
Income,4130-0045,TRAINER FEES,Recurring Income
Income,4130-0046,PERSONAL TRAINERS-MEMBERS,Recurring Income
Income,4130-0047,GOLF MEMBERSHIP-NON MANDATORY,Recurring Income
Income,4130-0048,GOLF MEMBERSHIP-MANDATORY,Recurring Income
Income,4130-0049,GOLF MEMBERSHIP-SPONSORED,Recurring Income
Income,4130-0050,GOLF MEMBERSHIP-JUNIOR/EXEC,Recurring Income
Income,4130-0051,GOLF-DUES LADIES,Recurring Income
Income,4130-0052,GOLF-DUES MENS,Recurring Income
Income,4130-0053,GOLF-GUEST,Recurring Income
Income,4130-0054,POOL/TENNIS GUEST,Recurring Income
Income,4130-0055,BAG STORAGE,Recurring Income
Income,4130-0056,METROPOLITAN GOLF ASSOC,Recurring Income
Income,4130-0057,OUTSIDE OUTINGS,Recurring Income
Income,4130-0058,Golf Cart Income,Recurring Income
Income,4130-0059,Event Income,Recurring Income
Income,4130-0060,Tennis Association dues,Recurring Income
Income,4130-0061,Reformer classes,Recurring Income
Income,4130-0062,Tennis - USTA Events,Recurring Income
Income,4135-0000,Garage & Parking,Recurring Income
Income,4135-0010,Garage,Recurring Income
Income,4135-0011,Garage – Sublet Fee,Recurring Income
Income,4135-0012,Garage – SUV Surcharge,Recurring Income
Income,4135-0013,Amenity1,Recurring Income
Income,4135-0015,Garage - Non Residents,Recurring Income
Income,4135-0020,Parking,Recurring Income
Income,4135-0025,Parking - Non-Residents,Recurring Income
Income,4135-0026,Transient Parking,Recurring Income
Income,4135-0030,Garage Door Opener,Recurring Income
Income,4140-0015,Accelerated Common Charges,Recurring Income
Income,4200-0000,Assessment - Operating,Recurring Income
Income,4200-0005,Special Assessment,Recurring Income
Income,4200-0010,Discount on Prepaid Assessment,Recurring Income
Income,4250-0000,Utility Income,Recurring Income
Income,4250-0002,Utility Income- Commercial,Recurring Income
Income,4250-0005,Refrigerator,Recurring Income
Income,4250-0010,Cable TV,Recurring Income
Income,4250-0015,Air Conditioner,Recurring Income
Income,4250-0020,Gas,Recurring Income
Income,4250-0025,Electric,Recurring Income
Income,4250-0030,Washing Machine,Recurring Income
Income,4250-0035,Dryer,Recurring Income
Income,4250-0040,Dishwasher,Recurring Income
Income,4250-0045,Freezer,Recurring Income
Income,4250-0050,Carbon/Smoke Detector,Recurring Income
Income,4250-0055,Appliance Charges,Recurring Income
Income,4305-0000,Fuel Surcharge,Recurring Income
Income,4310-0000,Maximum Base Rent,Recurring Income
Income,4505-0000,Additional Commercial Rent,Recurring Income
Income,4515-0000,CPI Adjustment,Recurring Income
Income,4515-0010,Operating Esc Income,Recurring Income
Income,4515-0015,Straight Line Adjustment,Recurring Income
Income,4520-0000,Commercial Real Estate Tax,Recurring Income
Income,4525-0000,Porter Wage,Recurring Income
Income,4530-0000,Garage - Operator,Recurring Income
Income,4580-0000,Sales Tax,Recurring Income
Income,4600-0000,Management Fees,Recurring Income
Income,4600-0010,Management Fees-Staff,Recurring Income
Income,4605-0000,Conference Room,Recurring Income
Income,4650-0000,Bad Debt,Recurring Income
Income,4655-0000,N.Y.C. Grant,Recurring Income
Income,4655-0002,Capital Grant Subsidy,Recurring Income
Income,4660-0000,Roof Income,Recurring Income
Income,4702-0000,Gratuities,Recurring Income
Income,4690-0000,Other Recurring Income,Recurring Income
Income,4705-0000,Late Charges,Non-Recurring Income
Income,4710-0000,Legal Fees,Non-Recurring Income
Income,4715-0000,Bounce Check Fee,Non-Recurring Income
Income,4720-0000,Apartment Repair Income,Non-Recurring Income
Income,4720-0010,Architectural/Enginerring Fees,Non-Recurring Income
Income,4720-0020,Paint & Plaster,Non-Recurring Income
Income,4720-0025,Bathroom Repair,Non-Recurring Income
Income,4720-0030,Plumbing Repair,Non-Recurring Income
Income,4720-0035,A/C Repair,Non-Recurring Income
Income,4720-0040,HVAC Repair,Non-Recurring Income
Income,4720-0045,Refrigerator,Non-Recurring Income
Income,4720-0046,Range & Oven,Non-Recurring Income
Income,4720-0050,Electrical Repairs,Non-Recurring Income
Income,4720-0055,Intercom Repairs,Non-Recurring Income
Income,4720-0060,Retroactive Air Conditioner Fees,Non-Recurring Income
Income,4725-0000,Other Apartment Charges,Non-Recurring Income
Income,4725-0015,Violations,Non-Recurring Income
Income,4725-0020,Gate Cards,Non-Recurring Income
Income,4725-0025,Move-In Out Fees,Non-Recurring Income
Income,4725-0030,Locks & Keys,Non-Recurring Income
Income,4725-0035,Sublet Fees,Non-Recurring Income
Income,4725-0045,Guest Fees,Non-Recurring Income
Income,4725-0050,Child Care Fees,Non-Recurring Income
Income,4725-0055,Landscaping Fund Fees,Non-Recurring Income
Income,4725-0060,Cleaning Service Fees,Non-Recurring Income
Income,4725-0065,Window Washing Fees,Non-Recurring Income
Income,4725-0070,Rubbish Removal Fees,Non-Recurring Income
Income,4725-0075,Freight Elevator Fees,Non-Recurring Income
Income,4725-0080,Grill Fees,Non-Recurring Income
Income,4800-0000,Interest Income,Non-Recurring Income
Income,4803-0000,Dividend Income,Non-Recurring Income
Income,4806-0000,Insurance Refunds,Non-Recurring Income
Income,4809-0000,Real Estate Tax Refunds,Non-Recurring Income
Income,4812-0000,Corporation Tax Refunds,Non-Recurring Income
Income,4815-0000,Payroll Tax Refunds,Non-Recurring Income
Income,4818-0000,Flip Tax - Operating,Non-Recurring Income
Income,4821-0000,Tenant Allowance,Non-Recurring Income
Income,4824-0000,Telephone Reimbursement,Non-Recurring Income
Income,4827-0000,Forfeit Security Deposit,Non-Recurring Income
Income,4830-0000,Water & Sewer,Non-Recurring Income
